,id,device,version,description,port
17210,38732,Idera Up.Time Monitoring Station ,7,3,9999
17211,38733,Idera Up.Time Monitoring Station ,7.4,3,9999
16844,37885,up.time ,7.5,5,9999
16847,37888,up.time ,7.5,5,9999
16846,37887,up.time ,7.5,3,9999
16845,37886,up.time ,7.5,2,9999
15611,35588,Lotus Mail Encryption Server ,2.101,0,9000
17678,40041,Symantec Endpoint Protection Manager ,12.1,5,8445
18421,42093,TerraMaster F,2,5,8181
15844,36055,Pandora FMS ,5.1,0,8080
18403,41988,QNAP PhotoStation ,5.24,5,8080
18447,42297,BuilderEngine ,3.5,0,7778
14220,32666,Kloxo ,6.118,5,7778
14219,32665,Kloxo ,6.118,2,7778
11240,27293,InstantCMS ,1.6,5,7443
11241,27294,InstantCMS ,1.6,5,7443
16378,36950,Syncrify Server ,3.6,5,5800
16377,36949,Xeams ,4.5,5,5272
14733,33954,Kerio Control ,8.31,0,4081
15221,34818,OpenFiler ,2.991,2,446
16946,38090,BigDump ,0.29,3,443
19379,45327,PHP File Browser Script ,1,5,443
17449,39266,Advanced Electron Forum ,1.09,5,443
19368,45258,Gleez CMS ,1.2,2,443
17604,39849,XenAPI ,1.41,0,443
17476,39306,pfSense Firewall ,2.25,2,443
17581,39709,pfSense Community Edition ,2.26,5,443
17576,39695,pfSense Firewall ,2.26,1,443
19347,45154,onArcade ,2.42,2,443
19812,46538,pfSense ,2.44,5,443
16552,37259,ISPConfig ,3.054,5,443
14337,33006,Alienvault ,4.31,0,443
14207,32644,Alienvault ,4.5,0,443
14458,33317,Alienvault Open Source SIEM (OSSIM) ,4.61,0,443
14384,33141,PHP ,5.26,0,443
15379,35150,Drupal ,7,0,443
19093,44355,Drupal ,7,0,443
15061,34585,Atmail Webmail ,7.2,5,443
18863,43374,Tuleap ,9.6,5,443
17677,40028,Riverbed SteelCentral NetProfiler & NetExpress ,10.87,5,443
14825,34132,IBM GCM,16,5,443
19618,45948,NUUO NVRMini,23.91,0,443
17571,39676,op,57.19,0,443
19884,46684,Dell KACE Systems Management Appliance (K,1000,0,443
4194,7616,Flexphplink ,0,5,80
4199,7624,Flexphpic ,0,5,80
4662,8515,5 star Rating 1.2 ,0,5,80
4743,8689,2DayBiz Business Community Script ,0,5,80
4744,8690,2DayBiz Business Community Script ,0,5,80
4745,8691,2DayBiz Template Monster Clone ,0,5,80
4751,8702,2DayBiz Custom Tshirt Design,0,5,80
5213,9459,2WIRE Gateway ,0,5,80
5477,10361,Real Estate Portal X.,0,5,80
5603,10614,35mm Slide Gallery ,0,5,80
6557,12414,2DayBiz Auction Script ,0,5,80
6558,12415,2DayBiz Auction Script ,0,5,80
6978,14018,2DayBiz Video Community Portal ,0,5,80
7144,14357,2DayBiz Businesscard Script ,0,5,80
8241,17956,6kbbs ,0,5,80
9430,23517,HotNews ,0,5,80
9741,24392,Mantis Bug Tracker ,0,5,80
10349,25819,FusionBB ,0,5,80
10554,26172,Mantis Bug Tracker ,0,5,80
16543,37243,Milw,0,5,80
16560,37290,Milw,0,5,80
16795,37713,2Moons,0,5,80
17971,41059,9 Network Linkedin Clone Script,0,5,80
17972,41060,9 Network Linkedin Clone Script,0,5,80
5602,10612,35mm Slide Gallery ,0,3,80
6259,11904,68KB ,0,3,80
6645,12558,29o3 CMS ,0,3,80
8855,21241,WikkiTikkiTavi ,0,3,80
8856,21250,WikkiTikkiTavi ,0,3,80
9005,21967,Benjamin Lefevre Dobermann Forum ,0,3,80
9006,21968,Benjamin Lefevre Dobermann Forum ,0,3,80
9007,21969,Benjamin Lefevre Dobermann Forum ,0,3,80
9008,21970,Benjamin Lefevre Dobermann Forum ,0,3,80
9431,23518,HotNews ,0,3,80
10016,25161,phpWebSite ,0,3,80
10419,25942,Jaws ,0,3,80
10446,26023,Atomic Photo Album ,0,3,80
11687,28012,Foing ,0,3,80
11930,28417,ToendaCMS ,0,3,80
11935,28426,Headline Portal Engine ,0,3,80
11970,28471,ToendaCMS ,0,3,80
13917,32134,H,0,3,80
15935,36192,A2CMS ,0,3,80
16544,37244,Milw,0,3,80
16621,37403,WordPress Plugin Invit,0,3,80
3262,6294,5 star review ,0,2,80
5200,9434,tgs CMS ,0,2,80
5478,10364,Real Estate Portal X.,0,2,80
5601,10611,35mm Slide Gallery ,0,2,80
6546,12395,2DayBiz Advanced Poll Script,0,2,80
6612,12496,2DayBiz Job Site Script ,0,2,80
7149,14365,2DayBiz Businesscard Script ,0,2,80
8470,18592,4Images Image Gallery Management System ,0,2,80
8475,18599,4Images Image Gallery Management System ,0,2,80
9740,24391,Mantis Bug Tracker ,0,2,80
10965,26798,Mantis Bug Tracker ,0,2,80
11201,27228,Mantis Bug Tracker ,0,2,80
11202,27229,Mantis Bug Tracker ,0,2,80
13247,30948,OpenBiblio ,0,2,80
13248,30949,OpenBiblio ,0,2,80
13250,30951,OpenBiblio ,0,2,80
13458,31319,Simple PHP Scripts Gallery ,0,2,80
1749,4104,6ALBlog ,0,0,80
2631,5464,5th AvenueShopping Cart ,0,0,80
2790,5663,6rbScript ,0,0,80
3751,6960,1st News ,0,0,80
4204,7631,2Capsule ,0,0,80
5604,10615,35mm Slide Gallery ,0,0,80
6906,13894,2DayBiz Online Classified System ,0,0,80
6907,13897,2DayBiz Online Classified System ,0,0,80
6970,14005,2DayBiz MLM Script ,0,0,80
6971,14007,2DayBiz MLM Script ,0,0,80
6972,14008,2DayBiz Matrimonial Script ,0,0,80
6973,14009,2DayBiz Freelance Script ,0,0,80
6975,14015,2DayBiz Photo Sharing Script ,0,0,80
6979,14019,2DayBiz Real Estate Portal ,0,0,80
6980,14020,2DayBiz The Web Template Software ,0,0,80
6981,14025,2DayBiz Job Site Script ,0,0,80
6982,14026,2DayBiz The Web Template Software ,0,0,80
6984,14028,2DayBiz B2B Portal Script ,0,0,80
6987,14047,2DayBiz Matrimonial Script ,0,0,80
6988,14048,2DayBiz ,0,0,80
6991,14051,2DayBiz B2B Portal Script ,0,0,80
6992,14053,2DayBiz B2B Portal Script ,0,0,80
7003,14073,2DayBiz Matrimonial Script ,0,0,80
7004,14074,2DayBiz ybiz Polls Script ,0,0,80
7005,14075,2DayBiz ybiz Freelance Script ,0,0,80
7006,14076,2DayBiz Photo Sharing Script ,0,0,80
7146,14362,2DayBiz Businesscard Script ,0,0,80
7430,15276,411cc ,0,0,80
8032,17445,2Point Solutions,0,0,80
8436,18497,4PSA CMS ,0,0,80
8474,18598,4Images Image Gallery Management System ,0,0,80
8921,21517,Voxel Dot Net CBms ,0,0,80
9481,23697,AllMyGuests ,0,0,80
9482,23698,AllMyVisitors ,0,0,80
9483,23699,AllMyLinks ,0,0,80
10815,26589,OvBB ,0,0,80
10816,26590,OvBB ,0,0,80
10860,26637,Helpdesk Issue Manager ,0,0,80
10861,26638,Helpdesk Issue Manager ,0,0,80
11658,27964,CoolForum ,0,0,80
14084,32410,6rbScript ,0,0,80
14295,32889,4CMS ,0,0,80
14650,33732,60cycleCMS,0,0,80
14717,33914,4x CMS ,0,0,80
14832,34153,2DayBiz ybiz Network Community Script,0,0,80
16545,37245,Milw,0,0,80
16546,37248,Milw,0,0,80
16796,37714,2Moons,0,0,80
17970,41058,9 Network Linkedin Clone Script,0,0,80
