,id,device,version,description
0,6,WordPress Core ,2.02, 'cache' Remote Shell Injection
1,44,phpBB ,2.05, SQL Injection Password Disclosure
2,47,phpBB ,2.04, PHP Remote File Inclusion
3,137,phpBB ,2.06, 'search_id' SQL Injection / MD5 Hash
4,138,phpBB ,2.06,Nuke 6.9 
5,309,phpMyAdmin ,2.57, Remote code Injection
6,384,PHP ,4.37, 'php
7,406,PHP ,4.37, SQL Injection
8,430,TorrentTrader ,1.0, SQL Injection
9,436,TorrentTrader ,1.0,Nuke 7.4 
10,465,TorrentTrader ,1.0,Nuke 
11,561,S,9,beta1 
12,565,S,9, Multiple Vulnerabilities
13,570,WordPress Core ,1.2, HTTP Splitting
14,574,ocPortal ,1.03, Remote File Inclusion
15,630,UBBCentral UBB.Threads ,6.2, One Char Brute Force
16,631,UBBCentral UBB.Threads ,6.2, 'LAST.php' SQL Injection
17,635,MiniBB ,1.7, 'user' SQL Injection
18,645,MiniBB ,1.7, Remote Command Execution
19,647,phpBB ,2.01, Remote Command Execution
20,648,Invision Power Board ,2.0, SQL Injection
21,673,phpBB ,2.01, Remote Command Execution (CGI)
22,676,phpBB ,1.0, 'admin_cash.php' Remote Code Execution
23,697,PHP ,4.39, 'Unserialize()' Remote Information Leak
24,702,phpBB < ,2.01, 'Santy.A Worm' 'highlight' Arbitrary File Upload
25,703,phpMyChat ,0.145, Remote Improper File Permissions
26,704,e,107, 'include()' Remote File Upload
27,720,e,107, phpBB 2.0.10 Bot Install (AOL/Yahoo Search)
28,725,e,107, PHP Scripts Automated Arbitrary File Inclusion
29,737,e,107, Directory Traversal
30,738,iWebNegar ,1.1, Configuration Nullification Denial of Service
31,740,phpBB ,2.01, 'ssh.D.Worm' Bot Install Altavista
32,754,ITA Forum ,1.49, SQL Injection
33,774,Siteman ,1.11, Remote Administrative Account Addition
34,786,LiteForum ,2.11, SQL Injection
35,800,LiteForum ,2.11, Remote File Inclusion / Code Execution
36,801,LiteForum ,2.11,Nuke 7.4 
37,807,MyPHP Forum ,1, SQL Injection
38,808,MyPHP Forum ,1, SQL Injection
39,809,MyPHP Forum ,1, SQL Injection
40,814,MercuryBoard ,1.11, SQL Injection
41,818,vBulletin ,3.04, 'forumdisplay.php' Code Execution (1)
42,820,vBulletin ,3.04, 'forumdisplay.php' Code Execution (2)
43,832,vBulletin ,3.06, PHP Code Injection
44,857,PHP Form Mail ,2.3, Arbitrary File Inclusion
45,858,phpBB ,2.012, Session Handling Authentication Bypass (tutorial)
46,860,Aztek Forum ,4, 'myadmin.php' Database Dumper
47,864,phpWebLog ,0.53, Arbitrary File Inclusion
48,865,PHP mcNews ,1.3, 'skinfile' Remote File Inclusion
49,866,paNews ,2.0, Remote Admin Creation SQL Injection
50,870,Download Center Lite (DCL) ,1.5, Remote File Inclusion
51,871,phpBB ,2.012, Session Handling Authentication Bypass
52,872,phpBB ,2.012, Arbitrary File Injection
53,873,phpDEV,5, Remote Default Insecure Users
54,881,ZPanel ,2.5, SQL Injection
55,889,phpBB ,2.012, Change User Rights Authentication Bypass
56,892,phpMyFamily ,1.4, Authentication Bypass
57,897,phpBB ,2.012, Change User Rights Authentication Bypass (C)
58,901,PunBB ,1.22, Authentication Bypass
59,907,phpBB ,2.013, 'downloads.php' mod Get Hash
60,910,phpBB ,2.013, 'Calendar Pro' mod Get Hash
61,921,phpBB ,2.013,Nuke 6.x < 7.6 Top module 
62,928,PunBB ,1.24, 'id' SQL Injection
63,939,S,9, 'exit.php' SQL Injection
64,982,S,9, Worm Source Code
65,989,S,9, Arbitrary Data Hash
66,996,ZPanel ,2.5, SQL Injection
67,1003,Fusion SBX ,1.2, Remote Command Execution
68,1006,Woltlab Burning Board ,2.31, 'register.php' SQL Injection
69,1013,Invision Power Board ,2.03, 'login.php' SQL Injection
70,1014,Invision Power Board ,2.03, 'login.php' SQL Injection (Tutorial)
71,1016,phpStat ,1.5, 'setup.php' Authentication Bypass (Perl)
72,1017,phpStat ,1.5, 'setup.php' Authentication Bypass (PHP) (1)
73,1018,phpStat ,1.5, 'setup.php' Authentication Bypass (PHP) (2)
74,1020,ZeroBoard ,4.1, 'preg_replace' Remote Nobody Shell
75,1022,MyBulletinBoard (MyBB) ,1.0, 'calendar.php' SQL Injection
76,1023,MyBloggie ,2.11, SQL Injection
77,1030,PostNuke ,0.75, 'readpmsg.php' SQL Injection
78,1031,Portail PHP < ,1.3, SQL Injection
79,1033,WordPress Core ,1.511, SQL Injection
80,1036,Invision Power Board ,1.31, 'login.php' SQL Injection
81,1049,Mambo ,4.521, Fetch Password Hash
82,1050,PHP Arena ,1.13, 'pafiledb.php' Remote Change Password
83,1051,Ultimate PHP Board ,1.96, users.dat Password Decryptor
84,1052,Ultimate PHP Board ,1.96,Learning 1.6 
85,1053,Ultimate PHP Board ,1.96,Learning 1.6 
86,1057,Simple Machines Forum (SMF) ,1.04, 'modify' SQL Injection
87,1058,MercuryBoard ,1.14, SQL Injection
88,1059,WordPress Core ,1.511, 'add new admin' SQL Injection
89,1060,Forum Russian Board ,4.2, Full Command Execution
90,1061,Mambo ,4.521, SQL Injection
91,1062,Cacti ,0.86, Remote Command Execution
92,1063,phpBB ,2.015, Register Multiple Users (Denial of Service) (Perl)
93,1064,phpBB ,2.015, Register Multiple Users (Denial of Service) (C)
94,1068,Cacti ,0.86,Fusion 6.00.105 
95,1069,UBBCentral UBB.Threads < ,6.52, 'mailthread.php' SQL Injection
96,1076,phpBB ,2.015, 'highlight' PHP Remote Code Execution
97,1077,WordPress Core ,1.512, 'xmlrpc' Interface SQL Injection
98,1078,WordPress Core ,1.512,RPC Library 1.3.0 
99,1080,phpBB ,2.015, 'highlight' Database Authentication Details
100,1082,XOOPS ,2.011, 'xmlrpc.php' SQL Injection
101,1083,XOOPS ,2.011,RPC Library 1.3.0 
102,1084,XOOPS ,2.011,RPC Library 1.3.0 
103,1088,Drupal ,4.53, Comments PHP Injection
104,1095,phpBB ,2.016, Cross
105,1097,BlogTorrent ,0.92, Remote Password Disclosure
106,1103,phpBB ,2.016, Cross
107,1106,e,1070.617, Cross
108,1111,Open Bulletin Board ,1.05, SQL Injection
109,1113,phpBB ,2.015, PHP Remote Code Execution (Metasploit)
110,1133,vBulletin ,3.06, 'template' Command Execution (Metasploit)
111,1134,MySQL Eventum ,1.55, 'login.php' SQL Injection
112,1135,MySQL Eventum ,1.55,Fusion 6.0.106 
113,1140,Flatnuke ,2.55, Remote Code Execution
114,1142,WordPress Core ,1.513, Remote Code Execution
115,1145,WordPress Core ,1.513, Remote Code Execution (Metasploit)
116,1172,MyBulletinBoard (MyBB) ,1.0, 'search.php' SQL Injection
117,1189,vBulletin ,3.08, Accessible Database Backup Searcher (3)
118,1191,Simple PHP Blog ,0.4, Multiple Remote s
119,1200,PBLang ,4.65, Remote Command Execution (1)
120,1202,PBLang ,4.65, Remote Command Execution (2)
121,1207,PBLang ,4.65,1 Forum 0.24.4 
122,1208,phpMyFamily ,1.4, SQL Injection
123,1211,PhpTagCool ,1.03, SQL Injection
124,1214,AzDGDatingLite ,2.13, Remote Code Execution
125,1217,phpWebSite ,0.1, 'module' SQL Injection
126,1219,phpWebSite ,0.1,Nuke 7.8 
127,1221,CuteNews ,1.4, Shell Injection / Remote Command Execution
128,1225,My Little Forum ,1.5, 'SearchString' SQL Injection
129,1226,phpMyFAQ ,1.51, 'User
130,1227,MailGust ,1.9, Board Takeover (SQL Injection)
131,1237,MailGust ,1.9,Fusion 6.00.109 
132,1240,Utopia News Pro ,1.13, 'news.php' SQL Injection
133,1241,Cyphor ,0.19, Board Takeover (SQL Injection)
134,1244,phpMyAdmin ,2.64,pl1 
135,1245,versatileBulletinBoard ,1.0, Board Takeover (SQL Injection)
136,1250,versatileBulletinBoard ,1.0,Agora 4.2.0 
137,1270,versatileBulletinBoard ,1.0,Nuke 7.8 
138,1273,TClanPortal ,1.13, 'id' SQL Injection
139,1278,Subdreamer ,2.21, SQL Injection / Command Execution
140,1280,VuBB Forum RC,1, 'm' SQL Injection
141,1289,CuteNews ,1.41, Shell Injection / Remote Command Execution
142,1296,ibProArcade ,2, module 'vBulletin/IPB' SQL Injection
143,1298,ATutor ,1.51, SQL Injection / Command Execution
144,1312,Moodle ,1.6, SQL Injection / Command Execution
145,1315,XOOPS (wfdownloads) ,2.05, Multiple Vulnerabilities
146,1317,Coppermine Photo Gallery ,1.32, File Retrieval / SQL Injection
147,1319,Unclassified NewsBoard ,1.53, Blind SQL Injection
148,1320,Unclassified NewsBoard ,1.53,DB 1.0 
149,1321,Cyphor ,0.19, 'show.php?id' SQL Injection
150,1322,Wizz Forum ,1.2, 'TopicID' SQL Injection
151,1324,PHPWebThings ,1.4, 'msg'/'forum' SQL Injection
152,1325,PHPWebThings ,1.4, 'forum' SQL Injection
153,1326,PHPWebThings ,1.4,Nuke 7.8 Search Module 
154,1329,EkinBoard ,1.03, '/config.php' SQL Injection / Command Execution
155,1337,Mambo ,4.52, Globals Overwrite / Remote Command Execution
156,1340,eFiction ,2, Fake '.GIF' Arbitrary File Upload
157,1342,Guppy ,4.59, 'REMOTE_ADDR' Remote Command Execution
158,1345,Xaraya ,1.0, 'create()' Denial of Service
159,1354,Zen Cart ,1.26, 'password_forgotten.php' SQL Injection
160,1356,DoceboLms ,2.04, 'connector.php' Arbitrary File Upload
161,1358,SimpleBBS ,1.1, Remote Command Execution
162,1359,SugarSuite Open Source ,4.0, Remote Code Execution (1)
163,1361,SimpleBBS ,1.1, Remote Command Execution (C)
164,1363,Website Baker ,2.6, Authentication Bypass / Remote Code Execution
165,1364,SugarSuite Open Source ,4.0, Remote Code Execution (2)
166,1367,Flatnuke ,2.56, Privilege Escalation / Remote Command Execution
167,1370,phpCOIN ,1.22, 'phpcoinsessid' SQL Injection / Remote Code Execution
168,1373,Limbo ,1.042, '_SERVER[REMOTE_ADDR]' Remote Command Execution
169,1379,PHPGedView ,3.37, Remote Code Execution
170,1382,phpBB ,2.018, Remote Brute Force/Dictionary (2)
171,1383,phpBB ,2.018, Cross
172,1385,phpBB ,2.018,Fusion 6.00.3 
173,1387,Dev Web Management System ,1.5, 'cat' SQL Injection
174,1388,phpBB ,2.017, 'signature_bbcode_uid' Remot Command
175,1395,phpDocumentor ,1.3, Remote Command Execution
176,1398,CubeCart ,3.06, Remote Command Execution
177,1400,CuteNews ,1.41, 'categories.mdu' Remote Command Execution
178,1401,Valdersoft Shopping Cart ,3, Remote Command Execution
179,1405,FlatCMS ,1.01, 'file_editor.php' Remote Command Execution
180,1410,Magic News Plus ,1.03, Admin Pass Change
181,1442,EZDatabase ,2, 'db_id' Remote Command Execution
182,1446,creLoaded ,6.15, 'HTMLAREA' Automated Perl
183,1453,Phpclanwebsite ,1.231, SQL Injection
184,1457,phpBB ,2.019, Cross
185,1459,xeCMS ,1.0, 'cookie' Remote Command Execution
186,1461,Invision Power Board Dragoran Portal Mod ,1.3, SQL Injection
187,1467,LoudBlog ,0.4, Remote File Inclusion
