,id,device,version,description,port
0,6,WordPress Core ,2.02,0,80.0
1,44,phpBB ,2.05,0,80.0
2,47,phpBB ,2.04,3,80.0
3,137,phpBB ,2.06,0,80.0
4,138,phpBB ,2.06,0,80.0
5,309,phpMyAdmin ,2.57,0,80.0
6,384,PHP ,4.37,5,80.0
7,406,PHP ,4.37,0,80.0
8,430,TorrentTrader ,1.0,0,80.0
9,436,TorrentTrader ,1.0,0,80.0
10,465,TorrentTrader ,1.0,0,80.0
11,561,S,9.0,5,80.0
12,565,S,9.0,5,80.0
13,570,WordPress Core ,1.2,5,80.0
14,574,ocPortal ,1.03,3,80.0
15,630,UBBCentral UBB.Threads ,6.2,5,80.0
16,631,UBBCentral UBB.Threads ,6.2,0,80.0
17,635,MiniBB ,1.7,0,80.0
18,645,MiniBB ,1.7,0,80.0
19,647,phpBB ,2.01,0,80.0
20,648,Invision Power Board ,2.0,0,80.0
21,673,phpBB ,2.01,0,80.0
22,676,phpBB ,1.0,0,80.0
23,697,PHP ,4.39,3,80.0
24,702,phpBB < ,2.01,3,80.0
25,703,phpMyChat ,0.145,3,80.0
26,704,e,107.0,3,80.0
27,720,e,107.0,5,80.0
28,725,e,107.0,3,80.0
29,737,e,107.0,5,80.0
30,738,iWebNegar ,1.1,1,80.0
31,740,phpBB ,2.01,5,80.0
32,754,ITA Forum ,1.49,0,80.0
33,774,Siteman ,1.11,3,80.0
34,786,LiteForum ,2.11,0,80.0
35,800,LiteForum ,2.11,0,80.0
36,801,LiteForum ,2.11,0,80.0
37,807,MyPHP Forum ,1.0,0,80.0
38,808,MyPHP Forum ,1.0,0,80.0
39,809,MyPHP Forum ,1.0,0,80.0
40,814,MercuryBoard ,1.11,0,80.0
41,818,vBulletin ,3.04,0,80.0
42,820,vBulletin ,3.04,0,80.0
43,832,vBulletin ,3.06,0,80.0
44,857,PHP Form Mail ,2.3,3,80.0
45,858,phpBB ,2.012,5,80.0
46,860,Aztek Forum ,4.0,5,80.0
47,864,phpWebLog ,0.53,3,80.0
48,865,PHP mcNews ,1.3,3,80.0
49,866,paNews ,2.0,0,80.0
50,870,Download Center Lite (DCL) ,1.5,3,80.0
51,871,phpBB ,2.012,5,80.0
52,872,phpBB ,2.012,0,80.0
53,873,phpDEV,5.0,3,80.0
54,881,ZPanel ,2.5,0,80.0
55,889,phpBB ,2.012,5,80.0
56,892,phpMyFamily ,1.4,5,80.0
57,897,phpBB ,2.012,5,80.0
58,901,PunBB ,1.22,5,80.0
59,907,phpBB ,2.013,5,80.0
60,910,phpBB ,2.013,5,80.0
61,921,phpBB ,2.013,0,80.0
62,928,PunBB ,1.24,0,80.0
63,939,S,9.0,0,80.0
64,982,S,9.0,0,80.0
65,989,S,9.0,5,80.0
66,996,ZPanel ,2.5,0,80.0
