,device,version
0,WordPress Core ,2.0.2
1,phpBB ,2.0.5
2,phpBB ,2.0.4
3,phpBB ,2.0.6
4,phpBB ,2.0.6
5,phpMyAdmin ,2.5.7
6,PHP ,4.3.7
7,PHP ,4.3.7
8,TorrentTrader ,1.0RC2
9,TorrentTrader ,1.0RC2
10,TorrentTrader ,1.0RC2
11,S9YSerendipity,0.7
12,S9YSerendipity,0.7
13,WordPress Core ,1.2
14,ocPortal ,1.0.3
15,UBBCentral UBB.Threads ,6.2.x<6.3x
16,UBBCentral UBB.Threads ,6.2.x<6.3x
17,MiniBB ,1.7f
18,MiniBB ,1.7f
19,phpBB ,2.0.10
20,Invision Power Board ,2.0.0<2.0.2
21,phpBB ,2.0.10
22,phpBB ,1.0.0/2.0.10
23,PHP ,4.3.9+phpBB2.x
24,phpBB < ,2.0.10
25,phpMyChat ,0.14.5
26,e,107
27,e,107
28,e,107
29,e,107
30,iWebNegar ,1.1
31,phpBB ,2.0.10
32,ITA Forum ,1.49
33,Siteman ,1.1.10
34,LiteForum ,2.1.1
35,LiteForum ,2.1.1
36,LiteForum ,2.1.1
37,MyPHP Forum ,1
38,MyPHP Forum ,1
39,MyPHP Forum ,1
40,MercuryBoard ,1.1.1
41,vBulletin ,3.0.4
42,vBulletin ,3.0.4
43,vBulletin ,3.0.6
44,PHP Form Mail ,2.3
45,phpBB ,2.0.12
46,Aztek Forum ,4
47,phpWebLog ,0.5.3
48,PHP mcNews ,1.3
49,paNews ,2.0b4
50,Download Center Lite (DCL) ,1.5
51,phpBB ,2.0.12
52,phpBB ,2.0.12
53,phpDEV,5
54,ZPanel ,2.5
55,phpBB ,2.0.12
56,phpMyFamily ,1.4.0
57,phpBB ,2.0.12
58,PunBB ,1.2.2
59,phpBB ,2.0.13
60,phpBB ,2.0.13
61,phpBB ,2.0.13
62,PunBB ,1.2.4
63,S,9YSerendipity0.8beta4
64,S,9YSerendipity0.8beta4
65,S,9YSerendipity0.8beta4
66,ZPanel ,2.5b10
67,Fusion SBX ,1.2
68,Woltlab Burning Board ,2.3.1
69,Invision Power Board ,2.0.3
70,Invision Power Board ,2.0.3
71,phpStat ,1.5
72,phpStat ,1.5
73,phpStat ,1.5
74,ZeroBoard ,4.1
75,MyBulletinBoard (MyBB) ,1.00RC4
76,MyBloggie ,2.1.1<2.1.2
77,PostNuke ,0.75
78,Portail PHP < ,1.3
79,WordPress Core ,1.5.1.1
80,Invision Power Board ,1.3.1
81,Mambo ,4.5.2.1
82,PHP Arena ,1.1.3
83,Ultimate PHP Board ,1.9.6GOLD
84,Ultimate PHP Board ,1.9.6GOLD
85,Ultimate PHP Board ,1.9.6GOLD
86,Simple Machines Forum (SMF) ,1.0.4
87,MercuryBoard ,1.1.4
88,WordPress Core ,1.5.1.1
89,Forum Russian Board ,4.2
90,Mambo ,4.5.2.1
91,Cacti ,0.8.6d
92,phpBB ,2.0.15
93,phpBB ,2.0.15
94,Cacti ,0.8.6d
95,UBBCentral UBB.Threads < ,6.5.2Beta
96,phpBB ,2.0.15
97,WordPress Core ,1.5.1.2
98,WordPress Core ,1.5.1.2
99,phpBB ,2.0.15
100,XOOPS ,2.0.11
101,XOOPS ,2.0.11
102,XOOPS ,2.0.11
103,Drupal ,4.5.3<4.6.1
104,phpBB ,2.0.16
105,BlogTorrent ,0.92
106,phpBB ,2.0.16
107,e,1070.617
108,Open Bulletin Board ,1.0.5
109,phpBB ,2.0.15
110,vBulletin ,3.0.6
111,MySQL Eventum ,1.5.5
112,MySQL Eventum ,1.5.5
113,Flatnuke ,2.5.5
114,WordPress Core ,1.5.1.3
115,WordPress Core ,1.5.1.3
116,MyBulletinBoard (MyBB) ,1.00RC4
117,vBulletin ,3.0.8
118,Simple PHP Blog ,0.4.0
119,PBLang ,4.65
120,PBLang ,4.65
121,PBLang ,4.65
122,phpMyFamily ,1.4.0
123,PhpTagCool ,1.0.3
124,AzDGDatingLite ,2.1.3
125,phpWebSite ,0.10.0
126,phpWebSite ,0.10.0
127,CuteNews ,1.4.0
128,My Little Forum ,1.5
129,phpMyFAQ ,1.5.1
130,MailGust ,1.9
131,MailGust ,1.9
132,Utopia News Pro ,1.1.3
133,Cyphor ,0.19
134,phpMyAdmin ,2.6.4
135,versatileBulletinBoard ,1.00RC2
136,versatileBulletinBoard ,1.00RC2
137,versatileBulletinBoard ,1.00RC2
138,TClanPortal ,1.1.3
139,Subdreamer ,2.2.1
140,VuBB Forum RC,1
141,CuteNews ,1.4.1
142,ibProArcade ,2.x
143,ATutor ,1.5.1pl2
144,Moodle ,1.6dev
145,XOOPS (wfdownloads) ,2.05Module
146,Coppermine Photo Gallery ,1.3.2
147,Unclassified NewsBoard ,1.5.3Patch3
148,Unclassified NewsBoard ,1.5.3Patch3
149,Cyphor ,0.19
150,Wizz Forum ,1.2
151,PHPWebThings ,1.4
152,PHPWebThings ,1.4
153,PHPWebThings ,1.4
154,EkinBoard ,1.0.3
155,Mambo ,4.5.2
156,eFiction ,2
157,Guppy ,4.5.9
158,Xaraya ,1.0.0RC4
159,Zen Cart ,1.2.6d
160,DoceboLms ,2.0.4
161,SimpleBBS ,1.1
162,SugarSuite Open Source ,4.0beta
163,SimpleBBS ,1.1
164,Website Baker ,2.6.0
165,SugarSuite Open Source ,4.0beta
166,Flatnuke ,2.5.6
167,phpCOIN ,1.2.2
168,Limbo ,1.0.4.2
169,PHPGedView ,3.3.7
170,phpBB ,2.0.18
171,phpBB ,2.0.18
172,phpBB ,2.0.18
173,Dev Web Management System ,1.5
174,phpBB ,2.0.17
175,phpDocumentor ,1.3.0rc4
176,CubeCart ,3.0.6
177,CuteNews ,1.4.1
178,Valdersoft Shopping Cart ,3
179,FlatCMS ,1.01
180,Magic News Plus ,1.0.3
181,EZDatabase ,2
182,creLoaded ,6.15
183,Phpclanwebsite ,1.23.1
184,phpBB ,2.0.19
185,xeCMS ,1.0.0RC2
186,Invision Power Board Dragoran Portal Mod ,1.3
187,LoudBlog ,0.4
188,Clever Copy ,3
189,phpBB ,2.0.19
190,CPGNuke Dragonfly ,9.0.6.1
191,SPIP ,1.8.2g
192,FCKEditor ,2.0<2.2
193,RunCMS ,1.2
194,DocMGR ,0.54.2
195,Invision Power Board Army System Mod ,2.1
196,EnterpriseGS ,1.0rc4
197,FlySpray ,0.9.7
198,webSPELL ,4.01
199,MyBulletinBoard (MyBB) ,1.03
200,PHPKIT ,1.6.1R2
201,YapBB ,1.2
202,Zorum Forum ,3.5
203,Gravity Board X ,1.1
204,Coppermine Photo Gallery ,1.4.3
205,Admbook ,1.2.2
206,BXCP ,0.2.9.9
207,GeekLog ,1.x
208,ilchClan ,1.05g
209,PunBB ,2.0.10
210,Noahs Classifieds ,1.3
211,NOCC Webmail ,1
212,NOCC Webmail ,1
213,VHCS ,2.4.7.1
214,phpWebSite ,0.10.0
215,Lansuite ,2.1.0Beta
216,iGENUS WebMail ,2.0.2
217,saPHP Lesson ,2
218,PwsPHP ,1.2.3
219,4Images ,1.7.1
220,Farsinews ,2.5
221,MyBulletinBoard (MyBB) ,1.03
222,Limbo CMS ,1.0.4.2
223,phpRPC Library ,0.7
224,vuBB ,0.2Final
225,Woltlab Burning Board ,2.x
226,phpRPC Library ,0.7
227,Aztek Forum ,4
228,MyBulletinBoard (MyBB) ,1.04
229,MyBulletinBoard (MyBB) ,1.04
230,Fantastic News ,2.1.2
231,D,2
232,OWL Intranet Engine ,0.82
233,Limbo CMS ,1.0.4.2
234,Gallery ,2.0.3
235,RedBLoG ,0.5
236,Light Weight Calendar ,1.x
237,Guppy ,4.5.11
238,Guestbook Script ,1.7
239,Jupiter CMS ,1.1.5
240,Simple PHP Blog ,0.4.7.1
241,PHP iCalendar ,2.21
242,PHP iCalendar ,2.21
243,KnowledgebasePublisher ,1.2
244,nodez ,4.6.1.1mercury
245,ShoutLIVE ,1.1.0
246,SoftBB ,0.1
247,gCards ,1.45
248,FreeWPS ,2.11
249,XHP CMS ,0.5
250,WebAlbum ,2.02pl
251,PHP Ticket ,0.71
252,phpBookingCalendar ,1.0c
253,TFT Gallery ,0.1
254,CuteNews ,1.4.1
255,Aztek Forum ,4
256,PHPCollab ,2.x/NetOffice2.x
257,GreyMatter WebLog ,1.21d
258,GreyMatter WebLog ,1.21d
259,Plogger Beta ,2.1
260,Claroline ,1.7.4
261,SQuery ,4.5
262,SQuery ,4.5
263,ReloadCMS ,1.2.5
264,VWar ,1.5.0R12
265,AngelineCMS ,0.8.1
266,INDEXU ,5.0.1
267,Crafty Syntax Image Gallery ,3.1g
268,phpMyChat ,0.14.5
269,phpMyChat ,0.15.0dev
270,Horde Help Viewer ,3.1
271,ADODB < ,4.7
272,ADODB < ,4.70(PHPOpenChat3.0.x)
273,dnGuestbook ,2
274,autonomous lan party ,0.98.1.0
275,XBrite Members ,1.1
