id,file,description,date,author,type,platform,port
738,exploits/php/dos/738.c,iWebNegar 1.1 - Configuration Nullification Denial of Service,2005-01-04,c0d3r,dos,php,
1063,exploits/php/dos/1063.pl,phpBB 2.0.15 - Register Multiple Users (Denial of Service) (Perl),2005-06-22,g30rg3_x,dos,php,
1064,exploits/php/dos/1064.c,phpBB 2.0.15 - Register Multiple Users (Denial of Service) (C),2005-06-22,HaCkZaTaN,dos,php,
1345,exploits/php/dos/1345.php,Xaraya 1.0.0 RC4 - 'create()' Denial of Service,2005-11-29,rgod,dos,php,
1517,exploits/php/dos/1517.c,PunBB 2.0.10 - Register Multiple Users Denial of Service,2006-02-20,K4P0,dos,php,
1573,exploits/php/dos/1573.php,Guppy 4.5.11 - Delete Databases Remote Denial of Service,2006-03-10,trueend5,dos,php,
1651,exploits/php/dos/1651.php,ADODB < 4.70 - 'tmssql.php' Denial of Service,2006-04-09,rgod,dos,php,
6481,exploits/php/dos/6481.c,Femitter FTP Server 1.03 - 'RETR' Remote Denial of Service (PoC),2008-09-17,LiquidWorm,dos,php,
40301,exploits/php/dos/40301.php,PHP 5.0.0 - 'domxml_open_file()' Local Denial of Service,2016-08-29,Yakir Wizman,dos,php,
40302,exploits/php/dos/40302.php,PHP 7.0 - Object Cloning Local Denial of Service,2016-08-29,Yakir Wizman,dos,php,
40305,exploits/php/dos/40305.txt,PHP 5.0.0 - 'simplexml_load_file()' Local Denial of Service,2016-08-29,Yakir Wizman,dos,php,
10242,exploits/php/dos/10242.txt,PHP < 5.3.1 - 'MultiPart/form-data' Denial of Service (Python),2009-11-27,Eren,dos,php,
10243,exploits/php/dos/10243.txt,PHP - MultiPart Form-Data Denial of Service (PoC),2009-11-22,Bogdan Calin,dos,php,
40306,exploits/php/dos/40306.php,PHP 5.0.0 - 'xmldocfile()' Local Denial of Service,2016-08-29,Yakir Wizman,dos,php,
10820,exploits/php/dos/10820.sh,Joomla! Component Core 1.5.x com_ - Denial of Service,2009-12-31,emgent,dos,php,80
10825,exploits/php/dos/10825.sh,WordPress Core 2.9 - Denial of Service,2009-12-31,emgent,dos,php,80
10826,exploits/php/dos/10826.sh,Drupal 5.21/6.16 - Denial of Service,2009-12-31,emgent,dos,php,80
10829,exploits/php/dos/10829.pl,vBulletin - Denial of Service,2009-12-30,R3d-D3V!L,dos,php,
11397,exploits/php/dos/11397.txt,PHP Captcha Security Images - Denial of Service,2010-02-11,cp77fk4r,dos,php,
12154,exploits/php/dos/12154.txt,vBulletin (Cyb - Advanced Forum Statistics) - 'misc.php' Denial of Service,2010-04-10,Andhra Hackers,dos,php,
12259,exploits/php/dos/12259.php,PHP 5.3.x - Denial of Service,2010-04-16,ITSecTeam,dos,php,
12554,exploits/php/dos/12554.txt,MiniManager For Mangos/Trinity Server - Denial of Service,2010-05-10,XroGuE,dos,php,
14678,exploits/php/dos/14678.txt,PHP 5.3.3 - 'ibase_gen_id()' Off-by-One Overflow,2010-08-18,Canberk BOLAT,dos,php,
15431,exploits/php/dos/15431.txt,PHP 5.3.3/5.2.14 - ZipArchive::getArchiveComment Null Pointer Dereference,2010-11-05,Maksymilian Arciemowicz,dos,php,
18023,exploits/php/dos/18023.java,phpLDAPadmin 0.9.4b - Denial of Service,2011-10-23,Alguien,dos,php,
18296,exploits/php/dos/18296.txt,PHP 5.3.8 - Hashtables Denial of Service,2012-01-01,infodox,dos,php,
18305,exploits/php/dos/18305.py,PHP Hash Table Collision - Denial of Service (PoC),2012-01-03,Christian Mehlmauer,dos,php,
18977,exploits/php/dos/18977.php,PHP 5.3.10 - 'spl_autoload_register()' Local Denial of Service,2012-06-03,Yakir Wizman,dos,php,
18978,exploits/php/dos/18978.php,PHP 5.3.10 - 'spl_autoload_call()' Local Denial of Service,2012-06-03,Yakir Wizman,dos,php,
18976,exploits/php/dos/18976.php,PHP 5.3.10 - 'spl_autoload()' Local Denial of Service,2012-06-03,Yakir Wizman,dos,php,
18458,exploits/php/dos/18458.txt,PHP 5.4SVN-2012-02-03 - htmlspecialchars/entities Buffer Overflow,2012-02-03,cataphract,dos,php,
18460,exploits/php/dos/18460.php,PHP 5.4.0RC6 (x64) - Denial of Service,2012-02-04,Stefan Esser,dos,php,
18909,exploits/php/dos/18909.php,PHP 5.4.3 - wddx_serialize_* / stream_bucket_* Variant Object Null Ptr Dereference,2012-05-21,condis,dos,php,
18910,exploits/php/dos/18910.php,PHP 5.4.3 - 'com_event_sink' Denial of Service,2012-05-21,condis,dos,php,
21428,exploits/php/dos/21428.txt,Messagerie 1.0 - Arbitrary User Removal Denial of Service,2002-04-27,frog,dos,php,
22110,exploits/php/dos/22110.txt,PHP-Nuke 6.0 - 'modules.php' Denial of Service,2002-12-23,Ing. Bernardo Lopez,dos,php,
22419,exploits/php/dos/22419.php,PHP 4.3 - 'socket_iovec_alloc()' Integer Overflow,2003-03-25,Sir Mordred,dos,php,
22425,exploits/php/dos/22425.php,PHP 4.x - 'socket_recv()' Signed Integer Memory Corruption,2003-03-26,Sir Mordred,dos,php,
22426,exploits/php/dos/22426.php,PHP 4.x - 'socket_recvfrom()' Signed Integer Memory Corruption,2003-03-26,Sir Mordred,dos,php,
22435,exploits/php/dos/22435.php,PHP 4.3.x/5.0 - 'openlog()' Buffer Overflow,2003-03-27,sir.mordred@hushmail.com,dos,php,
22494,exploits/php/dos/22494.txt,osCommerce 2.2 - 'product_info.php' Denial of Service,2003-04-15,Lorenzo Hernandez Garcia-Hierro,dos,php,
22660,exploits/php/dos/22660.txt,PostNuke Phoenix 0.72x - Rating System Denial of Service,2003-05-26,Lorenzo Manuel Hernandez Garcia-Hierro,dos,php,
23311,exploits/php/dos/23311.txt,E107 - 'Chatbox.php' Denial of Service,2003-10-29,Blademaster,dos,php,
23460,exploits/php/dos/23460.pl,ProjectForum 8.4.2.1 - Find Request Denial of Service,2003-12-22,Peter Winter-Smith,dos,php,
23750,exploits/php/dos/23750.txt,RobotFTP Server 1.0/2.0 - Remote Denial of Service,2004-02-24,Zone-h Security Team,dos,php,
24621,exploits/php/dos/24621.txt,Pinnacle ShowCenter 1.51 - Web Interface Skin Denial of Service,2004-09-21,Marc Ruef,dos,php,
24854,exploits/php/dos/24854.txt,PHP 3/4/5 - Multiple Local/Remote Vulnerabilities (1),2004-12-15,Stefan Esser,dos,php,
24855,exploits/php/dos/24855.txt,PHP 3/4/5 - Multiple Local/Remote Vulnerabilities (2),2004-12-15,Slythers,dos,php,
25752,exploits/php/dos/25752.txt,PHPMailer 1.7 - 'Data()' Remote Denial of Service,2005-05-28,Mariano Nunez Di Croce,dos,php,
29577,exploits/php/dos/29577.php,PHP 5.2.1 - STR_IReplace Remote Denial of Service,2007-02-09,Thomas Hruska,dos,php,
29692,exploits/php/dos/29692.txt,PHP 3/4/5 - ZendEngine Variable Destruction Remote Denial of Service,2007-03-01,Stefan Esser,dos,php,
29693,exploits/php/dos/29693.txt,PHP 4/5 - Executor Deep Recursion Remote Denial of Service,2007-03-01,Maksymilian Arciemowicz,dos,php,
29823,exploits/php/dos/29823.c,PHP 5.2.1 'GD' Extension - '.WBMP' File Integer Overflow,2007-04-07,Ivan Fratric,dos,php,
30395,exploits/php/dos/30395.txt,PHP - 'openssl_x509_parse()' Memory Corruption,2013-12-17,Stefan Esser,dos,php,
