id,device,version,description,port
6,WordPress Core ,2.0.2 , 'cache' Remote Shell Injection,80
44,phpBB ,2.0.5 , SQL Injection Password Disclosure,80
47,phpBB ,2.0.4 , PHP Remote File Inclusion,80
137,phpBB ,2.0.6 , 'search_id' SQL Injection / MD5 Hash,80
138,phpBB ,2.0.6 ,Nuke 6.9 ,80
309,phpMyAdmin ,2.5.7 , Remote code Injection,80
384,PHP ,4.3.7 , 'php,80
406,PHP ,4.3.7 , SQL Injection,80
430,TorrentTrader ,1.0 RC2 , SQL Injection,80
436,TorrentTrader ,1.0 RC2 ,Nuke 7.4 ,80
465,TorrentTrader ,1.0 RC2 ,Nuke ,80
561,S,9Y Serendipity 0.7,beta1 ,80
565,S,9Y Serendipity 0.7, Multiple Vulnerabilities,80
570,WordPress Core ,1.2, HTTP Splitting,80
574,ocPortal ,1.0.3 , Remote File Inclusion,80
630,UBBCentral UBB.Threads ,6.2.x < 6.3x , One Char Brute Force,80
631,UBBCentral UBB.Threads ,6.2.x < 6.3x , 'LAST.php' SQL Injection,80
635,MiniBB ,1.7f , 'user' SQL Injection,80
645,MiniBB ,1.7f , Remote Command Execution,80
647,phpBB ,2.0.10 , Remote Command Execution,80
648,Invision Power Board ,2.0.0 < 2.0.2 , SQL Injection,80
673,phpBB ,2.0.10 , Remote Command Execution (CGI),80
676,phpBB ,1.0.0/2.0.10 , 'admin_cash.php' Remote Code Execution,80
697,PHP ,4.3.9 + phpBB 2.x , 'Unserialize()' Remote Information Leak,80
702,phpBB < ,2.0.10 , 'Santy.A Worm' 'highlight' Arbitrary File Upload,80
703,phpMyChat ,0.14.5 , Remote Improper File Permissions,80
704,e,107, 'include()' Remote File Upload,80
720,e,107, phpBB 2.0.10 Bot Install (AOL/Yahoo Search),80
725,e,107, PHP Scripts Automated Arbitrary File Inclusion,80
737,e,107, Directory Traversal,80
738,iWebNegar ,1.1, Configuration Nullification Denial of Service,80
740,phpBB ,2.0.10 , 'ssh.D.Worm' Bot Install Altavista,80
754,ITA Forum ,1.49, SQL Injection,80
774,Siteman ,1.1.10 , Remote Administrative Account Addition,80
786,LiteForum ,2.1.1 , SQL Injection,80
800,LiteForum ,2.1.1 , Remote File Inclusion / Code Execution,80
801,LiteForum ,2.1.1 ,Nuke 7.4 ,80
807,MyPHP Forum ,1, SQL Injection,80
808,MyPHP Forum ,1, SQL Injection,80
809,MyPHP Forum ,1, SQL Injection,80
814,MercuryBoard ,1.1.1 , SQL Injection,80
818,vBulletin ,3.0.4 , 'forumdisplay.php' Code Execution (1),80
820,vBulletin ,3.0.4 , 'forumdisplay.php' Code Execution (2),80
832,vBulletin ,3.0.6 , PHP Code Injection,80
857,PHP Form Mail ,2.3, Arbitrary File Inclusion,80
858,phpBB ,2.0.12 , Session Handling Authentication Bypass (tutorial),80
860,Aztek Forum ,4, 'myadmin.php' Database Dumper,80
864,phpWebLog ,0.5.3 , Arbitrary File Inclusion,80
865,PHP mcNews ,1.3, 'skinfile' Remote File Inclusion,80
866,paNews ,2.0b4 , Remote Admin Creation SQL Injection,80
870,Download Center Lite (DCL) ,1.5, Remote File Inclusion,80
871,phpBB ,2.0.12 , Session Handling Authentication Bypass,80
872,phpBB ,2.0.12 , Arbitrary File Injection,80
873,phpDEV,5, Remote Default Insecure Users,80
881,ZPanel ,2.5, SQL Injection,80
889,phpBB ,2.0.12 , Change User Rights Authentication Bypass,80
892,phpMyFamily ,1.4.0 , Authentication Bypass,80
897,phpBB ,2.0.12 , Change User Rights Authentication Bypass (C),80
901,PunBB ,1.2.2 , Authentication Bypass,80
907,phpBB ,2.0.13 , 'downloads.php' mod Get Hash,80
910,phpBB ,2.0.13 , 'Calendar Pro' mod Get Hash,80
921,phpBB ,2.0.13 ,Nuke 6.x < 7.6 Top module ,80
928,PunBB ,1.2.4 , 'id' SQL Injection,80
939,S,9Y Serendipity 0.8beta4 , 'exit.php' SQL Injection,80
982,S,9Y Serendipity 0.8beta4 , Worm Source Code,80
989,S,9Y Serendipity 0.8beta4 , Arbitrary Data Hash,80
996,ZPanel ,2.5b10 , SQL Injection,80
1003,Fusion SBX ,1.2, Remote Command Execution,80
1006,Woltlab Burning Board ,2.3.1 , 'register.php' SQL Injection,80
1013,Invision Power Board ,2.0.3 , 'login.php' SQL Injection,80
1014,Invision Power Board ,2.0.3 , 'login.php' SQL Injection (Tutorial),80
1016,phpStat ,1.5, 'setup.php' Authentication Bypass (Perl),80
1017,phpStat ,1.5, 'setup.php' Authentication Bypass (PHP) (1),80
1018,phpStat ,1.5, 'setup.php' Authentication Bypass (PHP) (2),80
1020,ZeroBoard ,4.1, 'preg_replace' Remote Nobody Shell,80
1022,MyBulletinBoard (MyBB) ,1.00 RC4 , 'calendar.php' SQL Injection,80
1023,MyBloggie ,2.1.1 < 2.1.2 , SQL Injection,80
1030,PostNuke ,0.75, 'readpmsg.php' SQL Injection,80
1031,Portail PHP < ,1.3, SQL Injection,80
1033,WordPress Core ,1.5.1.1 , SQL Injection,80
1036,Invision Power Board ,1.3.1 , 'login.php' SQL Injection,80
1049,Mambo ,4.5.2.1 , Fetch Password Hash,80
1050,PHP Arena ,1.1.3 , 'pafiledb.php' Remote Change Password,80
1051,Ultimate PHP Board ,1.9.6 GOLD , users.dat Password Decryptor,80
1052,Ultimate PHP Board ,1.9.6 GOLD ,Learning 1.6 ,80
1053,Ultimate PHP Board ,1.9.6 GOLD ,Learning 1.6 ,80
1057,Simple Machines Forum (SMF) ,1.0.4 , 'modify' SQL Injection,80
1058,MercuryBoard ,1.1.4 , SQL Injection,80
1059,WordPress Core ,1.5.1.1 , 'add new admin' SQL Injection,80
1060,Forum Russian Board ,4.2, Full Command Execution,80
1061,Mambo ,4.5.2.1 , SQL Injection,80
1062,Cacti ,0.8.6d , Remote Command Execution,80
1063,phpBB ,2.0.15 , Register Multiple Users (Denial of Service) (Perl),80
1064,phpBB ,2.0.15 , Register Multiple Users (Denial of Service) (C),80
1068,Cacti ,0.8.6d ,Fusion 6.00.105 ,80
1069,UBBCentral UBB.Threads < ,6.5.2 Beta , 'mailthread.php' SQL Injection,80
1076,phpBB ,2.0.15 , 'highlight' PHP Remote Code Execution,80
1077,WordPress Core ,1.5.1.2 , 'xmlrpc' Interface SQL Injection,80
1078,WordPress Core ,1.5.1.2 ,RPC Library 1.3.0 ,80
1080,phpBB ,2.0.15 , 'highlight' Database Authentication Details,80
1082,XOOPS ,2.0.11 , 'xmlrpc.php' SQL Injection,80
1083,XOOPS ,2.0.11 ,RPC Library 1.3.0 ,80
1084,XOOPS ,2.0.11 ,RPC Library 1.3.0 ,80
1088,Drupal ,4.5.3 < 4.6.1 , Comments PHP Injection,80
1095,phpBB ,2.0.16 , Cross,80
1097,BlogTorrent ,0.92, Remote Password Disclosure,80
1103,phpBB ,2.0.16 , Cross,80
1106,e,107 0.617 , Cross,80
1111,Open Bulletin Board ,1.0.5 , SQL Injection,80
1113,phpBB ,2.0.15 , PHP Remote Code Execution (Metasploit),80
1133,vBulletin ,3.0.6 , 'template' Command Execution (Metasploit),80
1134,MySQL Eventum ,1.5.5 , 'login.php' SQL Injection,80
1135,MySQL Eventum ,1.5.5 ,Fusion 6.0.106 ,80
1140,Flatnuke ,2.5.5 , Remote Code Execution,80
1142,WordPress Core ,1.5.1.3 , Remote Code Execution,80
1145,WordPress Core ,1.5.1.3 , Remote Code Execution (Metasploit),80
1172,MyBulletinBoard (MyBB) ,1.00 RC4 , 'search.php' SQL Injection,80
1189,vBulletin ,3.0.8 , Accessible Database Backup Searcher (3),80
1191,Simple PHP Blog ,0.4.0 , Multiple Remote s,80
1200,PBLang ,4.65, Remote Command Execution (1),80
1202,PBLang ,4.65, Remote Command Execution (2),80
1207,PBLang ,4.65,1 Forum 0.24.4 ,80
1208,phpMyFamily ,1.4.0 , SQL Injection,80
1211,PhpTagCool ,1.0.3 , SQL Injection,80
1214,AzDGDatingLite ,2.1.3 , Remote Code Execution,80
1217,phpWebSite ,0.10.0 , 'module' SQL Injection,80
1219,phpWebSite ,0.10.0 ,Nuke 7.8 ,80
1221,CuteNews ,1.4.0 , Shell Injection / Remote Command Execution,80
1225,My Little Forum ,1.5, 'SearchString' SQL Injection,80
1226,phpMyFAQ ,1.5.1 , 'User,80
1227,MailGust ,1.9, Board Takeover (SQL Injection),80
1237,MailGust ,1.9,Fusion 6.00.109 ,80
1240,Utopia News Pro ,1.1.3 , 'news.php' SQL Injection,80
1241,Cyphor ,0.19, Board Takeover (SQL Injection),80
1244,phpMyAdmin ,2.6.4,pl1 ,80
1245,versatileBulletinBoard ,1.00 RC2 , Board Takeover (SQL Injection),80
1250,versatileBulletinBoard ,1.00 RC2 ,Agora 4.2.0 ,80
1270,versatileBulletinBoard ,1.00 RC2 ,Nuke 7.8 ,80
1273,TClanPortal ,1.1.3 , 'id' SQL Injection,80
1278,Subdreamer ,2.2.1 , SQL Injection / Command Execution,80
1280,VuBB Forum RC,1, 'm' SQL Injection,80
1289,CuteNews ,1.4.1 , Shell Injection / Remote Command Execution,80
1296,ibProArcade ,2.x , module 'vBulletin/IPB' SQL Injection,80
1298,ATutor ,1.5.1pl2 , SQL Injection / Command Execution,80
1312,Moodle ,1.6dev , SQL Injection / Command Execution,80
1315,XOOPS (wfdownloads) ,2.05 Module , Multiple Vulnerabilities,80
1317,Coppermine Photo Gallery ,1.3.2 , File Retrieval / SQL Injection,80
1319,Unclassified NewsBoard ,1.5.3 Patch 3 , Blind SQL Injection,80
1320,Unclassified NewsBoard ,1.5.3 Patch 3 ,DB 1.0 ,80
1321,Cyphor ,0.19, 'show.php?id' SQL Injection,80
1322,Wizz Forum ,1.2, 'TopicID' SQL Injection,80
1324,PHPWebThings ,1.4, 'msg'/'forum' SQL Injection,80
1325,PHPWebThings ,1.4, 'forum' SQL Injection,80
1326,PHPWebThings ,1.4,Nuke 7.8 Search Module ,80
1329,EkinBoard ,1.0.3 , '/config.php' SQL Injection / Command Execution,80
1337,Mambo ,4.5.2 , Globals Overwrite / Remote Command Execution,80
1340,eFiction ,2, Fake '.GIF' Arbitrary File Upload,80
1342,Guppy ,4.5.9 , 'REMOTE_ADDR' Remote Command Execution,80
1345,Xaraya ,1.0.0 RC4 , 'create()' Denial of Service,80
1354,Zen Cart ,1.2.6d , 'password_forgotten.php' SQL Injection,80
1356,DoceboLms ,2.0.4 , 'connector.php' Arbitrary File Upload,80
1358,SimpleBBS ,1.1, Remote Command Execution,80
1359,SugarSuite Open Source ,4.0beta , Remote Code Execution (1),80
1361,SimpleBBS ,1.1, Remote Command Execution (C),80
1363,Website Baker ,2.6.0 , Authentication Bypass / Remote Code Execution,80
1364,SugarSuite Open Source ,4.0beta , Remote Code Execution (2),80
1367,Flatnuke ,2.5.6 , Privilege Escalation / Remote Command Execution,80
1370,phpCOIN ,1.2.2 , 'phpcoinsessid' SQL Injection / Remote Code Execution,80
1373,Limbo ,1.0.4.2 , '_SERVER[REMOTE_ADDR]' Remote Command Execution,80
1379,PHPGedView ,3.3.7 , Remote Code Execution,80
1382,phpBB ,2.0.18 , Remote Brute Force/Dictionary (2),80
1383,phpBB ,2.0.18 , Cross,80
1385,phpBB ,2.0.18 ,Fusion 6.00.3 ,80
1387,Dev Web Management System ,1.5, 'cat' SQL Injection,80
1388,phpBB ,2.0.17 , 'signature_bbcode_uid' Remot Command,80
1395,phpDocumentor ,1.3.0 rc4 , Remote Command Execution,80
1398,CubeCart ,3.0.6 , Remote Command Execution,80
1400,CuteNews ,1.4.1 , 'categories.mdu' Remote Command Execution,80
1401,Valdersoft Shopping Cart ,3, Remote Command Execution,80
1405,FlatCMS ,1.01, 'file_editor.php' Remote Command Execution,80
1410,Magic News Plus ,1.0.3 , Admin Pass Change,80
1442,EZDatabase ,2, 'db_id' Remote Command Execution,80
1446,creLoaded ,6.15, 'HTMLAREA' Automated Perl,80
1453,Phpclanwebsite ,1.23.1 , SQL Injection,80
1457,phpBB ,2.0.19 , Cross,80
1459,xeCMS ,1.0.0 RC 2 , 'cookie' Remote Command Execution,80
1461,Invision Power Board Dragoran Portal Mod ,1.3, SQL Injection,80
1467,LoudBlog ,0.4, Remote File Inclusion,80
1468,Clever Copy ,3, Admin Auth Details / SQL Injection,80
1469,phpBB ,2.0.19 , Style Changer/Demo Mod SQL Injection,80
1478,CPGNuke Dragonfly ,9.0.6.1 , Remote Command Execution,80
1482,SPIP ,1.8.2g , Remote Command Execution,80
1484,FCKEditor ,2.0 < 2.2 , 'FileManager connector.php' Arbitrary File Upload,80
1485,RunCMS ,1.2, 'class.forumposts.php' Remote File Inclusion,80
1491,DocMGR ,0.54.2 , 'file_exists' Remote Command Execution,80
1492,Invision Power Board Army System Mod ,2.1, SQL Injection,80
1493,EnterpriseGS ,1.0 rc4 , Remote Command Execution,80
1494,FlySpray ,0.9.7 , 'install,80
1498,webSPELL ,4.01, 'title_op' SQL Injection,80
1499,MyBulletinBoard (MyBB) ,1.03, Multiple SQL Injections,80
1501,PHPKIT ,1.6.1R2 , 'filecheck' Remote Command Execution,80
1503,YapBB ,1.2, 'cfgIncludeDirectory' Remote Command Execution,80
1509,Zorum Forum ,3.5, 'rollid' SQL Injection,80
1510,Gravity Board X ,1.1, 'csscontent' Remote Code Execution,80
1511,Coppermine Photo Gallery ,1.4.3 , Remote Command Execution,80
1512,Admbook ,1.2.2 , 'x,80
1513,BXCP ,0.2.9.9 , 'tid' SQL Injection,80
1515,GeekLog ,1.x , 'error.log' Remote Command Execution,80
1516,ilchClan ,1.05g , 'tid' SQL Injection,80
1517,PunBB ,2.0.10 , Register Multiple Users Denial of Service,80
1521,Noahs Classifieds ,1.3, 'lowerTemplate' Remote Code Execution,80
1522,NOCC Webmail ,1, Local File Inclusion / Remote Code Execution,80
1523,NOCC Webmail ,1,Nuke 7.5 < 7.8 ,80
1524,VHCS ,2.4.7.1 , Add User Authentication Bypass,80
1525,phpWebSite ,0.10.0,full ,80
1526,Lansuite ,2.1.0 Beta , 'fid' SQL Injection,80
1527,iGENUS WebMail ,2.0.2 , 'config_inc.php' Remote Code Execution,80
1530,saPHP Lesson ,2, 'forumid' SQL Injection,80
1532,PwsPHP ,1.2.3 , 'index.php' SQL Injection,80
1533,4Images ,1.7.1 , Local File Inclusion / Remote Code Execution,80
1538,Farsinews ,2.5, Directory Traversal Arbitrary 'users.db' Access,80
1539,MyBulletinBoard (MyBB) ,1.03, 'misc.php' SQL Injection,80
1541,Limbo CMS ,1.0.4.2 , 'itemID' Remote Code Execution,80
